company,location,total_laid_off,date,percentage_laid_off,industry,source,stage,funds_raised,country
Block,SF Bay Area,4000,2/26/2026,0.4,Finance,https://www.cnbc.com/2026/02/26/block-laying-off-about-4000-employees-nearly-half-of-its-workforce.html,Post-IPO,150,United States
eBay,SF Bay Area,800,2/26/2026,0.06,Retail,https://www.cnbc.com/2026/02/26/ebay-layoffs-800-workforce.html,Post-IPO,1200,Israel
C3.ai,SF Bay Area,280,2/25/2026,0.26,AI,https://www.morningstar.com/stocks/xnys/ai/earnings-transcript,Series F,228,United States
WiseTech,"Sydney, Non-U.S.",2000,2/24/2026,0.3,Logistics,https://www.bloomberg.com/news/articles/2026-02-24/wisetech-to-cut-2-000-jobs-as-ai-ends-era-of-manual-coding,Post-IPO,3000,Australia
TrueCar,Los Angeles,100,2/24/2026,0.3,Transportation,https://aimgroup.com/2026/02/24/truecar-cuts-30-of-staff/,Post-IPO,340,United States
DraftKings,Boston,,2/24/2026,,Consumer,https://next.io/news/people/draftkings-reduces-workforce-company-embraces-ai/,Post-IPO,719,United States
Livspace,"Bengaluru, Non-U.S.",1000,2/20/2026,0.12,Consumer,https://inc42.com/buzz/livspace-fires-1000-employees-cofounder-quits/,Series F,482,India
Lucid Motors,SF Bay Area,,2/20/2026,0.12,Transportation,https://techcrunch.com/2026/02/20/lucid-motors-slashes-12-of-its-workforce-as-it-seeks-profitability/,Post-IPO,8300,United States
Cyberark,Boston,500,2/17/2026,0.12,Security,https://www.calcalistech.com/ctechnews/article/hy707511ube,Acquired,1700,United States
Huawei,"Tel Aviv, Non-U.S.",50,2/15/2026,,Hardware,https://www.calcalistech.com/ctechnews/article/bkmmdojuwx,Unknown,,Israel
Axonius,New York City,40,2/15/2026,0.04,Security,https://www.calcalistech.com/ctechnews/article/s1xchi1oze,Series E,865,United States
Clari,SF Bay Area,76,02-12-2026,,Sales,https://www.bizjournals.com/sanjose/news/2026/02/12/clari-salesloft-merger-ai-investments-layoffs.html,Acquired,496,United States
Glossier,New York City,50,02-11-2026,0.33,Retail,https://www.businessoffashion.com/news/cosmetics/glossier-layoffs-2026/,Series E,266,United States
Dayforce,"Toronto, Non-U.S.",,02-11-2026,0.05,HR,Internal memo,Post-IPO,40,Canada
